Sectors,Consumption(MU),Percentage,District
Industries,5740.45,37.666666666666664,Kancheepuram
Agriculture and Huts,131.29,6.0,Kancheepuram
Domestic,1706.0700000000002,36.0,Kancheepuram
Commercial,535.95,12.666666666666666,Kancheepuram
Public lighting and Public Works,103.38999999999999,1.6666666666666667,Kancheepuram
Sales to Licences,0.0,0.0,Kancheepuram
Sales to Other States,0.0,0.0,Kancheepuram
Miscellaneous,278.36,2.6666666666666665,Kancheepuram
Grand Total,8495.51,100.0,Kancheepuram
